"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value","Retention
cost",Remarks
144,One   Silver   Decoration Candy Box,Mr.    Farooq    H.    Naek Chairman Senate,6/6/2011,"Rs.35,000/-","Rs.3,750/-","Amount deposited, gift
retained"
145,"a.  One Model of Kuwait Sailing     Ship     (Al Boom)
b.  One    Wrist    Watch (Ulysse Nardin)
c.  Six      Gold      Coins (Central    Bank    of Kuwait                i.e.
1,5,10,20,50,100
Fils)
d.  One Pure Silver Coin Picture           Kuwait
landmarks         with Selective gold plated","Mr.    Asif    Ali    Zardari, President of Pakistan.",6/13/2011,"a. Rs.4,000/
b. Rs.165,000/-
c. Rs.148,000/-
d. Rs.14,617/-
e. Rs.14,617/-
f. Rs.14,617/-
g. Rs.15,000/-
Total: Rs.375,851/-","Rs. 54,878/-","Amount deposited, gift retained"
,"50th  Anniversary
e.  One Coin pure silver picrue     of     Sheikh Sabah  Al-Ahmad  Al- Jabaer  Al-Sabah,  as Amir  of  Kuwait  with gold Plated
f.   One      Coin      20th Anniversary           of Liberation of Kuwait,
g.  Two  Gent’s  Gown  &
One Ladies",,,,,
146,"a.  One    Wrist    Watch (Corum),
b.  One  Model  of  Coin (White      &      Gold
Plated)         (Central Bank of Kuwait),
c.  One       Model       of (Silver)             Coin (Central    Bank    of Kuwait)","Mr.    Asif    Ali    Zardari, President of Pakistan",6/13/2011,"a. Rs.1,250,000/-
b. Rs.14,617/-
c. Rs.6,837/-
Total: Rs.1,271,454/-","Rs.189,219/-","Amount deposited, gift retained"
147,One  Box  Containing  9 coins  (3  Medium  +  6 Small),"Mr.    Asif    Ali    Zardari, President of Pakistan.",6/13/2011,"Rs.38,477/-","Rs. 4,272/-","Amount deposited, gift retained"
148,Box   Containing   Picture CD and Keychain,"Mr.    Asif    Ali    Zardari, President of Pakistan",6/13/2011,"Rs.1,500/-",Free of Cost,Retained
149,One Coin,"Brig.   Syed   Muhammad Adnan, Military Secretary to    the    President    of Pakistan    (MS    to    the
President)",6/13/2011,"Rs.14,617/-",Rs.693/-,"Amount deposited, gift retained"
,,,,,,
150,One Carpet,"Mr. Ghalib Iqbal, Chief of Protocol, Foreign Affairs,",6/29/2011,"Rs.20,000/-","Rs.1,500/-","Amount deposited, gift retained"
151,One Knife,"Mr. Ghalib Iqbal, Chief of Protocol, Foreign Affairs",6/29/2011,"Rs.3,000/-",Free of Cost,Retained
152,One Packet fountain Pen & Wallet/Purse,"Syed  Mushir  Ali  Shahid, Deputy   Press   Secretary
to the President",7/2/2011,"Rs.5,000/-",Free of Cost,Retained
153,"One   Packet   Containing
Pair  of  Cufflinks,  Pen  & Wallet","Mr.      Shahid      Ahmed, Cameraman, PTV",7/5/2011,"Rs.8,000/-",Free of Cost,Retained
154,"One   Packet   Containing Pair  of  Cufflinks,  Pen  & Wallet","Mr.      Abdul      Ghaffar, Engineer, PTV",7/5/2011,"Rs.8,000/-",Free of Cost,Retained
155,"One   Packet   Containing Pair  of  Cufflinks,  Pen  &
Wallet","Mr.    Musadaq    Kallem, Reporter, PTV",7/9/2011,"Rs.8,000/-",Free of Cost,Retained
156,"One   Packet   Containing Pair  of  Cufflinks,  Pen  & Wallet","Mr.    Muhammad    Tariq, Photographer, PID",7/9/2011,"Rs.8,000/-",Free of Cost,Retained
157,"One   Packet   Containing Pair  of  Cufflinks,  Pen  &
Wallet","Ms.    Shmaila    Andleeb, Reporter, APP",7/9/2011,"Rs.8,000/-",Free of Cost,Retained
158,"One   Packet   Containing
Pair  of  Cufflinks,  Pen  & Wallet","Mr.        Allay        Anees, Cameraman, APP",7/9/2011,"Rs.8,000/-",Free of Cost,Retained
159,One Carpet (small),"Dr.       Asim       Hussain, Minister  for  Petroleum  &",7/11/2011,"Rs.7,500/-",Free of Cost,Retained
,,Natural Resources,,,,
160,One       Wrist       Watch (FENDI),"Mr.  Manzoor  ul  Haq,  DG (ME), Ministry of Foreign
Affairs",7/13/2011,"Rs.65,000/-","Rs. 8,250/-","Amount deposited, gift
retained"
161,"One   Carpet   (160x110 centimeters)        approx (color:      Brown      and
Green)","Mr.  Sajjad  Kamran,  DG (Afghanistan)                / Additional Secretary (AP)
Ministry of Foreign Affairs",7/13/2011,"Rs.20,000/-","Rs.1,500/-","Amount deposited, gift retained"
162,"a. One   Box   containing Ceramic    Picture    in Leather Frame,
b. One      Mont      Blank Leather     Bag     with Diary + Pen,
c. One Shield,
d. One      Silver      Coin (Commemorative Medal)
e. One  Decoration  Table Watch
f. One Silver Coin,
g. One Cigarette Case,
h. One Ball Pen,
i.  One Coin (G),
j. One Note Book & Ball pen","Mr.    Asif    Ali    Zardari, President of Pakistan",7/14/2011,"a.  Rs.6,500/
b.  Rs.75,000/-
c.  NCV
d.  Rs.30,000/-
e.  Rs.2,000/-
f.   Rs.2,000/-
g.  Rs.2,500/-
h.  Rs.2,000/-
i.   NCV
j.   Rs.3,000/-
Total; Rs.123,000/-","Rs.16,950/-","Amount deposited, gift retained"
163,"One       Leather       Bag Containing: -
One Coin, One Ball Pen, One Cigarette Case, One Note   Book   with   Pen,
One  CD,  One  Ticketing Album and Book","Military  Secretary  to  the President,   (MS   to   the President of Pakistan)",7/14/2011,"Rs.10,000/-",Free of Cost,Retained
164,"One       Leather       Bag Containing: -
One Coin, One Ball Pen,","Deputy Military Secretary
to the President (DMS to the President)",7/14/2011,"Rs.10,000/-",Free of Cost,Retained
,"One Cigarette Case, One Note   Book   with   Pen, One  CD,  One  Ticketing Album and Book",,,,,
165,"One       Leather       Bag Containing: -
One Coin, One Ball Pen, One Cigarette Case, One Note   Book   with   Pen,
One  CD,  One  Ticketing Album and Book","Mr.   Farhatullah   Babar, Spokes   Person   to   the President of Pakistan.",7/14/2011,"Rs.10,000/-",Free of Cost,Retained
166,"One        Brief        Case Containing: -
a. one Carpet
b. One  Shield  (A  world without Terrorism)","Mr.    Asif    Ali    Zardari, President of Pakistan.",7/14/2011,"a. Rs. 20,000/
b. NCV","Rs.1,500/-","Amount deposited, gift retained"
167,One        Brief        Case containing one Carpet,Military  Secretary  to  the President of Pakistan,7/14/2011,"Rs.8,000/-",Free of Cost,Retained
168,One        Brief        Case containing one Carpet,"Deputy Military Secretary to    the    President    of
Pakistan",7/14/2011,"Rs.8,000/-",Free of Cost,Retained
169,One        Brief        Case containing one Carpet,"Mr.       Farukh       Amil, Additional        Secretary, Foreign Affairs",7/14/2011,"Rs.8,000/-",Free of Cost,Retained
170,One        Brief        Case containing one Carpet,"Farhat      Ullah      Babar, Spokes   Person   to   the President of Pakistan.",7/14/2011,"Rs.8,000/-",Free of Cost,Retained
171,"One Packet containing:
a.  Two  Kashan  Cookie, One Pistachio,
b.  One                Sohan Mohammad
Saedinia,",Chief  Security  Officer  to the President,7/14/2011,NCV,Free of Cost,Retained
,c.  One Atiq (Toffes)),,,,,
172,"One Packet Containing:
a.  Two  Kashan  Cookie, One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Atiq (Toffes)",ADC    (Navy)    to    the President,7/14/2011,NCV,Free of Cost,Retained
173,"One Packet Containing:
a.  Two  Kashan  Cookie, One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Atiq (Toffes)","Lt.  Col.  Salman  Saleem, Medical             Classified
Specialist        to        the President",7/14/2011,NCV,Free of Cost,Retained
174,"One Packet Containing:
a.   Two Kashan Cookie, One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Atiq (Toffes)",Maj.     Basharat     (Staff Officer to the President),7/14/2011,NCV,Free of Cost,Retained
175,"One Packet Containing:
a.  Two  Kashan  Cookie, One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Atiq (Toffes)","Mr.   Fasih   Ullah   Khan, Deputy Director",7/14/2011,NCV,Free of Cost,Retained
176,"One Packet Containing:
a.  One Pistachio,
b.  One                Sohan
Mohammad Saedinia,","Hav.  M.  Jamil,  Security Staff",7/14/2011,NCV,Free of Cost,Retained
,c.  One Kashan Cookie,,,,,
177,"One Packet Containing:
a.  One Pistachio,
b.   One               Sohan Mohammad Saedinia,
c.  One Kashan Cookie","N/K   Sabz   Ali,   Security Staff",7/14/2011,NCV,Free of Cost,Retained
178,"One Packet Containing:
a.  One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Kashan Cookie","L/NK Rana Ijaz, Security Staff",7/14/2011,NCV,Free of Cost,Retained
179,"One Packet Containing:
a.  One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Kashan Cookie","L/NK    Abdul    Rehman, Security Staff",7/14/2011,NCV,Free of Cost,Retained
180,"One Packet Containing:
a.  One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.   One Kashan Cookie","L/NK  Gul  Zameen  Khan, Security Staff",7/14/2011,NCV,Free of Cost,Retained
181,"One Packet Containing:
a.  One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Kashan Cookie","Constable  Farman  Ullah, Security Staff",7/14/2011,NCV,Free of Cost,Retained
182,"One Packet Containing:
a.  One Pistachio,
b.  One                Sohan","Hav. M. Rafique, Security Staff",7/14/2011,NCV,Free of Cost,Retained
,"Mohammad Saedinia,
c.  One Kashan Cookie",,,,,
183,"One Packet Containing:
a.  One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Kashan Cookie","Mukhtar Ahmed, Security Staff",7/14/2011,NCV,Free of Cost,Retained
184,"One Packet Containing:
a.  One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Kashan Cookie","Israr      Ahmed      Khan, Protocol Assistant.",7/14/2011,NCV,Free of Cost,Retained
185,"One Packet Containing:
a.  One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Kashan Cookie","Mushtaq Ahmed, Valet",7/14/2011,NCV,Free of Cost,Retained
186,"One Packet Containing:
a.  One Pistachio,
b.  One                Sohan Mohammad Saedinia,
c.  One Kashan Cookie","Alix Bux Ansari, Cook",7/14/2011,NCV,Free of Cost,Retained
187,"One   Framed   Egyptian
Art  work  (depicting  six women + three men)","Minister for Privatization, Mr. Ghous Bux Mehr",7/16/2011,"Rs.4,000/-",-,"Auctioned for Rs.3,500/-"
188,One Carpet,"Chief       of       Protocol, Ministry of Foreign Affairs",7/21/2011,"Rs.7,500/-",Free of Cost,Retained
189,One Cup and Saucer,"Mr.   Farhatullah   Baber, Spokesperson     to     the
President",7/22/2011,"Rs.10,000/-",Free of Cost,Retained
190,a.  Gents    Watch    Gio,"Mr. Ghalib Iqbal, Chief of",7/25/2011,"a. Rs. 85,000/-","Rs.56,573/-",Amount
,"Monoco
b.  Lady’s    Watch    Gio Monoco
c.  Bracelet     in     18Kt Gold
d.  One   Pair   of   Ear-
Rings in 18Kt Gold
e.  One   Ring   In   18Kt Gold
f.   One Ball Pen
g.  One Pair of Cufflinks","Protocol, Foreign Affairs",,"b. Rs.125,000/-
c. Rs.77,100/-
d. Rs.64,421/-
e. Rs.31,128/-
f. Rs.1500/-
g. Rs.3000/-
Total: Rs.387,149/-",,"deposited, gift retained"
191,"Gents       Watch       Gio Monoco   Qtz   (Stainless
Steel)","Mr.  Faisal  Niaz  Tirmizi, Deputy Chief of Protocol,
(DCP), Foreign Affairs",7/25/2011,"Rs. 65,000/-","Rs.8,250/-","Amount deposited, gift
retained"
192,"Gents       Watch       Gio Monoco    Geneve    HYP No.2  automatic  leather
strap (Stainless Steel)","Mr.  Adeel  Ahmad  Khan, Protocol  Officer,  Foreign Affairs",7/25/2011,"Rs. 85,000/-","Rs.11,250/-","Amount deposited, gift retained"
193,One Wrist Watch Bvlgari (No. L2442),"Mr.   Khushnood   Akhtar Lashari,            (Principal Secretary  to  the  Prime Minister) (PSPM)",8/12/2011,"Rs.160,000/-","Rs.22,500/-","Amount deposited, gift retained"
194,"a.  One Golden Sword
b.  One Tasbih in gold
c.  One Table Clock
d.  One Pen
e.  Box Containing Oudh
f.    Piece   of   Ghalaf-e- Kaba","Mr.    Asif    Ali    Zardari, President of Pakistan",8/15/2011,"a.  Rs.512,000/
b.  Rs.120,000/-
c.  Rs.50,000/-
d.  Rs.15,000/-
e.  Rs.150,000/-
f.   NCV
Total: Rs.847.000","Rs. 125,550/-","Amount deposited, gift retained"
195,"One Box Containing Two Wrist               Watches,
Cufflinks,   Pair   of   Ear- rings,   One   Ring,   One","Brig.   Syed   M.   Adnan, Military   Secretary   (MS) to the President",8/15/2011,"Rs.387,149/-","Rs.56,573/-","Amount deposited, gift retained"
,Bracelet & One Pen.,,,,,
196,"One Box Containing Two Wrist               Watches, Cufflinks,   Pair   of   Ear- rings,   One   Ring,   One
Bracelet & One Pen.","Mr.   Farhatullah   Babar, Spokesperson     to     the President",8/15/2011,"Rs.387,149/-","Rs.56,573/-","Amount deposited, gift retained"
197,"One Box Containing Two Wrist               Watches, Cufflinks,   Pair   of   Ear- rings,   One   Ring,   One Bracelet & One Pen.","Mr.  Amir  Saeed,  Deputy Military Secretary, (DMS) to the President",8/15/2011,"Rs.387,149/-","Rs. 56,573/-","Amount deposited, gift retained"
198,"One Box Containing Two Wrist               Watches, Cufflinks,   Pair   of   Ear- rings,   One   Ring,   One
Bracelet & One Pen.","Lt.  Col.  Babar  Mumtaz, Chief    Security    Officer (CSO) to the President",8/15/2011,"Rs.387,149/-","Rs.56,573/-","Amount deposited, gift retained"
199,Gents       Watch       Gio Monoco,"Sq.   Leader   Malik   Jalal
Farooq, ADC (Air) to the President",8/15/2011,"Rs.85,000/-","Rs.11,250/-","Amount
deposited, gift retained"
200,Gents       Watch       Gio Monoco,"Lt.   Cdr.   Syed   Salman Shah, ADC (Navy) to the
President",8/15/2011,"Rs.85,000/-","Rs.11,250/-","Amount deposited, gift
retained"
201,Gents       Watch       Gio Monoco,"Lt.  Col.  Salman  Saleem
Classified             Medical Specialist",8/15/2011,"Rs.85,000/-","Rs.11,250/-","Amount
deposited, gift retained"
202,One Watch Hamilton,"Maj.  Jamil  Ur  Rehman, Security   Officer   to   the President",8/15/2011,"Rs.65,000/-","Rs. 8,250/-","Amount deposited, gift retained"
203,One Watch Hamilton,"Mr.  Wazir  Abbasi,  Valet, President Secretariat",8/15/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift
retained"
204,One Watch Hamilton,"Mr.   Manzoor   Ali,   Cook President Secretariat",8/15/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
205,One Watch Hamilton,"Mr.     Shoaib     Saleem, Protocol           Assistant. President Secretariat",8/15/2011,"Rs.65,000/-","Rs. 8,250/-","Amount deposited, gift retained"
206,One Watch Hamilton,"Hav.   Muhammad   Jamil,
Security  Staff  President Secretariat",8/15/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
207,One Watch Hamilton,"Hav. Amanullah, Security
Staff                 President Secretariat",8/15/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
208,One Watch Hamilton,"L/NK     Saeed     Akhtar, Security  Staff,  President
Secretariat",8/15/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift
retained"
209,One Watch Hamilton,"L/NK    Abdul    Rehman,
Security  Staff  President Secretariat",8/15/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
210,One Watch Hamilton,"Cons     Sajid     Hussain, Security  Staff  President
Secretariat",8/15/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift
retained"
211,One Watch Hamilton,"Mr.     Muhammad     Yar Kalyar,    Security    Staff President Secretariat",8/15/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift retained"
212,One Watch Hamilton,"Mukhtar     Ahmed,     SPI Branch,    Security    Staff
President Secretariat",8/15/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift
retained"
213,One Watch Hamilton,"Hav.  Akbar  Ali,  Security
Staff                 President Secretariat",8/15/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
214,One   Wrist   Watch   Gio Monocco,"Mr. Ghalib Iqbal, Chief of Protocol, Foreign Affairs",8/15/2011,"Rs.135,000/-","Rs.18,750/-","Amount deposited, gift retained"
215,One       Wrist       Watch Hamilton,"Mr. Faisal Tirmizi, Deputy Chief  of  Protocol,  DCP,
Foreign Affairs",8/15/2011,"Rs.130,000/-","Rs.18,000/-","Amount deposited, gift
retained"
216,One       Wrist       Watch,"Mr.  Adeel  Ahmed  Khan,",8/15/2011,"Rs.100,000/-","Rs.13,500/-",Amount
,Hamilton,"Protocol  Officer,  Foreign Affairs",,,,"deposited, gift retained"
217,One       Wrist       Watch Movado (No.4652275),"Mr.    Imran    Mehmood, Chief  Security  Officer  to
the Prime Minister",8/16/2011,"Rs.65,000/-","Rs.8,250/-","Amount deposited, gift
retained"
218,"One       Wrist       Watch
Hamilton     (No.2824-2- H395150)","Sub   Inspector   Manzoor Hussain, Gunman",8/16/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
219,One       Wrist       Watch Hamilton (No.ATM/100FT),"Hav.  Muhammad  Zubair, SSG, Gunman",8/16/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift retained"
220,"One       Wrist       Watch Hamilton  (No.H745920)
Qtz","Constable,     Muhammad Saghir, Gunman",8/16/2011,"Rs.35,000/-","Rs.3,750/-","Amount deposited, gift
retained"
221,"One       Wrist       Watch
Hamilton (No.10BAR/145PSI)","Constable, Khawar Abbas Gunman",8/16/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
222,One       Wrist       Watch Hamilton (No.H346150),"Constable            Naveed Anwar, Gunman",8/16/2011,"Rs.35,000/-","Rs.3,750/-","Amount deposited, gift
retained"
223,One  Wrist  Watch  POG (No.POG E66903),"Const.  Waseem  Ahmed, Gunman",8/16/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift
retained"
224,"One       Wrist       Watch
Hamilton (10ATM/330FT)","Const.  Raziq  Mehmood, Gunman",8/16/2011,"Rs.35,000/-","Rs.3,750/-","Amount
deposited, gift retained"
225,"One       Wrist       Watch Hamilton             (No.20
BAR/290 PSI)","Const.      Faqir      Shah, Gunman",8/16/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift
retained"
226,One   Wrist   Watch   Gio Monocco,"Mr. Muqqudus Hyder, SP. Security   Officer   to   the Prime Minister",8/16/2011,"Rs.135,000/-","Rs.18,750/-","Amount deposited, gift retained"
227,One Wrist Watch Bvlgari (No.O 9193),"Brig.    Raja    Samiullah, Personal Physician to  PM",8/18/2011,"Rs.160,000/-","Rs.22,500/-","Amount deposited, gift"
,,(Prime Minister),,,,retained
228,One       Wrist       Watch Hamilton (No.H 644250),"Brig.    Tahir    Ali    Malik,
Military     Secretary     to Prime Minister",8/18/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
229,One   Wrist   Watch   Gio Monocco (No.s n 0302),"Mr.      Zubair      Ahmed, Deputy  Secretary  to  the
Prime Minister",8/18/2011,"Rs.65,000/-","Rs.8,250/-","Amount deposited, gift
retained"
230,One       Wrist       Watch Hamilton (No.H 647150),"Wing    Cadre.    Shahzad
Fatah,    ADC    to    Prime Minister",8/18/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
231,One       Wrist       Watch Hamilton (No.H 325550),"Mr.      Sadiq      Sanjrani, Coordinator,             PM’s Grievances Wing",8/18/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift retained"
232,One       Wrist       Watch Hamilton (No.H365160),"SP  M.  Suleman  Security Officer  to  Prime  Minister
(PM)",8/18/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift
retained"
233,"One       Wrist       Watch
Longiness                 Qtz Chronograph","Sq. Ldr. Tariq, PAF",8/19/2011,"Rs.95,000/-","Rs.12,750/-","Amount
deposited, gift retained"
234,One       Wrist       Watch Longiness Qtz,"Sqn.  Ldr  Usman  Ahmad, Member   of   Air   Crew, President entourage",8/19/2011,"Rs.75,000/-","Rs.9,750/-","Amount deposited, gift retained"
235,One       Wrist       Watch Longiness Qtz.,"Sqn. Ldr. Sohail, Member of   Air   Crew,   President
entourage",8/19/2011,"Rs.55,000/-","Rs.6,750/-","Amount deposited, gift
retained"
236,One       Wrist       Watch Longiness Qtz.,"Sr.       Tech.       Shahid,
Member   of   Air   Crew, President entourage",8/19/2011,"Rs.55,000/-","Rs.6,750/-","Amount
deposited, gift retained"
237,One       Wrist       Watch Longiness Qtz.,"Sr.  Tech.  Asim,  Member of   Air   Crew,   President
entourage",8/19/2011,"Rs.55,000/-","Rs.6,750/-","Amount deposited, gift
retained"
238,"One   Watch   Longiness
Automatic      (L3.677.4) (No.35567178)","Mr.     Sarfraz     Hussain,
Deputy              Director, President Secretariat.",8/22/2011,"Rs.90,000/-","Rs.12,000/-","Amount
deposited, gift retained"
239,One Wrist Watch Bvlgari,"Mr.    Akram    Shaheedi,",8/23/2011,"Rs.160,000/-","Rs.22,500/-",Amount
,(No.L0861),Press Secretary to Prime Minister,,,,"deposited, gift retained"
240,One  Wrist  Watch  Saint Moritz Qtz,"Mr. Ghalib Iqbal, Chief of Protocol, Foreign Affairs",8/25/2011,"Rs.135,000/-","Rs.18,750/-","Amount
deposited, gift retained"
241,One       Wrist       Watch Longiness Qtz.,"Mr.  Adeel  Ahmed  Khan, Protocol  Officer,  Foreign
Affairs",8/25/2011,"Rs.95,000/-","Rs.12,750/-","Amount deposited, gift
retained"
242,One Carpet,"Dr.      Fahmida      Mirza,
Speaker,            National Assembly",9/5/2011,"Rs.20,000/-",-,"Auctioned for Rs.25,000/-"
243,One gift (Tea Set),"Mr. Ghalib Iqbal, Chief of Protocol, Foreign Affairs",9/8/2011,"Rs.1,500/-",Free of Cost,Retained
244,One      Wall      Hanging Decoration             Piece (Framed),"Mr. Ghalib Iqbal, Chief of Protocol, Foreign Affairs",9/8/2011,"Rs.2,500/-",Free of Cost,Retained
245,One       Wrist       Watch Hamilton (No.H 326560),"Mr.    Rafaqat    Hussain, Engineer PTV",9/10/2011,"Rs.35,000/-","Rs.3,750/-","Amount deposited, gift
retained"
246,"One      Wall      Hanging
Decoration   Piece   (duly framed)","Brig.    Tahir    Ali    Malik,
Military  Secretary  to  the Prime Minister",9/19/2011,"Rs.2,500/-",Free of Cost,Retained
247,One Small Wall Hanging,"Mr.  Adeel  Ahmed  Khan, Protocol  Officer,  Foreign Affairs",9/19/2011,"Rs.1,000/-",Free of Cost,Retained
248,One Tea Set Two Packet Tea,"Mr.  Adeel  Ahmed  Khan, Protocol  Officer,  Foreign
Affairs",9/19/2011,"Rs.1,500/- Rs.800/-",Free of Cost,Retained
249,One       Wrist       Watch Hamilton (No.18830),"Mr.   Hidayatullah   Abro, Cameraman, APP",9/20/2011,"Rs.35,000/-","Rs.3,750/-","Amount
deposited, gift retained"
250,One       Wrist       Watch Hamilton (No.H376460),"Mr.        Abdul        Rauf, Cameraman, PTV",9/21/2011,"Rs.35,000/-","Rs.3,750/-","Amount deposited, gift
retained"
251,One Watch Hamilton,"Mr.       Sajid       Hameed Cameraman, APP",9/26/2011,"Rs.60,000/-","Rs.7,500/-","Amount deposited, gift"
,,,,,,retained
252,One       Wrist       Watch Longiness Qtz,"Mr.    Muhammad    Afzal Tanvir, PTV, Engineer",9/28/2011,"Rs.75,000/-","Rs.9,750/-","Amount
deposited, gift retained"
253,One       Wrist       Watch Longines Qtz.,"Mr.    Muhammad    Tariq, Photographer, PID",9/28/2011,"Rs.75,000/-","Rs.9,750/-","Amount deposited, gift
retained"
254,"a.  Five   Wall   Hanging (Animal Sceneries)
b.  One    Plate    (Large Size) (China Clay)","Dr. Abdul Hafeez Shaikh, Minister for Finance",9/28/2011,"a.  Rs.5,000/
b.  Rs.4,000/-
Total:- Rs.9,000/-",Free of Cost,Retained
255,One Watch Hamilton,"Mr.    Muhammad    Tariq, Photographer, PID",9/28/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
256,One       Wrist       Watch Hamilton,"Col.  Syed  Abid  Ali Shah, Military     Secretary     to
Governor KPK",10/1/2011,"Rs.60,000/-","Rs.10,000/-","Amount deposited, gift
retained"
257,One Group Photo,"Syed Yousaf Raza Gilani,
Prime       Minister       of Pakistan",10/4/2011,NCV,Free of Cost,Retained
258,One     Sculpture     Dec. Piece    “Berkutchi    and Tazi”,"Syed Yousaf Raza Gilani, Prime       Minister       of Pakistan",10/4/2011,"Rs.18,000/-","Rs.1,200/-","Amount deposited, gift retained"
259,One      Painting      duly Framed,"Syed Yousaf Raza Gilani, Prime       Minister       of
Pakistan,",10/4/2011,"Rs.7,500/-",Free of Cost,Retained
260,"a.  One               Carpet (Handmade    packed in Brief Case)
b.  Two Flower Vases","Syed Yousaf Raza Gillani, Prime       Minister       of Pakistan,",10/4/2011,"a.  Rs.20,000/
b.  Rs.8,000/-
Total: Rs.28,000/-","Rs.2,700/-","Amount deposited, gift retained"
261,"a.  Brief case with Table Set     (Leather     08 Pieces)
b.  One Floor Mat
c.  One                   Wall","Syed Yousaf Raza Gillani, Prime       Minister       of Pakistan",10/4/2011,"a.  Rs.6,000/
b.  Rs.10,000/-
c.  Rs.25,000/-
Total:","Rs.4,650/-","Amount deposited, gift retained"
,Hanging(Carpet).,,,"Rs.41,000",,
262,One    Metal    Model    of Falcon on Marble stand,"Syed Yousaf Raza Gillani, Prime       Minister       of
Pakistan",10/4/2011,"Rs.20,000/-","Rs.1,500/-","Amount deposited, gift
retained"
263,One   Model   of   Kuwait National Assembly,"Syed Yousaf Raza Gillani,
Prime       Minister       of Pakistan",10/4/2011,NCV,Free of cost,Retained
264,One    Model    of    Boat (Golden),"Syed Yousaf Raza Gillani, Prime       Minister       of
Pakistan",10/4/2011,"Rs.10,000/-",Free of Cost,Retained
265,One Watch Hamilton,"Mr. Bilal Shaikh, Security Officer to the President",10/4/2011,"Rs.65,000/-","Rs.8,250/-","Amount
deposited, gift retained"
266,One Flower Vase,"Syed Yousaf Raza Gilani, Prime       Minister       of Pakistan",10/5/2011,"Rs. 8,000/-",Free of Cost,Retained
267,"a. One  Model  of  Hijr-e Aswad
b. One     Wrist     Watch Chopard           (Moon Phase) (Auto)(No.1607515)
c. One Pair of Cufflinks
d. One Ball Point in Gold & Diamond
e. One Tasbih  in  Gold  & Diamond
f.  One Dagger in Gold & Diamond","Syed Yousaf Raza Gillani, Prime       Minister       of Pakistan",10/17/2011,"a. NCV
b. Rs.600,000/-
c. Rs.75,000/-
d. Rs.300,000/-
e. Rs.225,000/-
f. Rs.700,000/-
Total
Rs.1900,000/-","Rs.283,500/-","Amount deposited, gift retained"
268,One       Wrist       Watch Hamilton (No.384101),"Mr.   Muhammad   Naeem
Khan,    Prime     Minister (PM) Sectt.",10/19/2011,"Rs.60,000/-","Rs.7,500/-","Amount
deposited, gift retained"
269,One         replica         of Dagger/Knife (Yemeni),"Justice Retd. Javed Iqbal, Chairman,      Abbottabad
Inquiry Commission",10/21/2011,"Rs.10,000/-",-,"Auctioned for Rs.9,100/-"
270,Two  Packets  of  Coffee,"Justice Retd. Javed Iqbal,",10/21/2011,-,-,Retained without
,(Perishable),"Chairman,      Abbottabad Inquiry Commission",,,,depositing in TK
271,"a. One        Gun        (FN HERSTAL)            with accessories and
b. One     Wrist     Watch Cartier","Mr.    Asif    Ali    Zardari, President of Pakistan",10/28/2011,"a. Rs.550,000/
b. Rs.1,065,000/-
Total :- Rs.1,615,000/-","Rs.321,000/-","Amount deposited, gift retained"
272,One  Wrist  Watch  Rolex (116200),"Mr.   Farhatullah   Baber,
Spokesperson     to     the President",10/28/2011,"Rs.525,000/-","Rs.103,000/-","Amount
deposited, gift retained"
